etl_name,process,start_time,end_time,source_count,destination_count,status,error_message
realisasi_bus,target_merge,2025-11-15 14:01:17.857091,2025-11-15 14:01:17.875880,data target/raw/dummy_realisasi_bus.csv,data target/target/realisasi_bus.csv,515,515,SUCCESS,
routes,target_merge,2025-11-15 14:01:17.877224,2025-11-15 14:01:17.880381,data target/raw/dummy_routes.csv,data target/target/routes.csv,21,21,SUCCESS,
shelter_corridor,target_merge,2025-11-15 14:01:17.881627,2025-11-15 14:01:17.885670,data target/raw/dummy_shelter_corridor.csv,data target/target/shelter_corridor.csv,74,74,SUCCESS,
merge_transaksi_bus(),target_csv_to_postgres,2025-11-15 14:01:17.907485,2025-11-15 14:01:17.907485,,,0,0,FAILED,
merge_transaksi_halte(),target_csv_to_postgres,2025-11-15 14:01:17.907485,2025-11-15 14:01:17.907485,,,0,0,FAILED,
target_csv_to_postgres,target→postgres,2025-11-15 14:01:17.886468,2025-11-15 14:01:17.907485,procedures,postgres.target,,,SUCCESS,
raw_csv_processing,RAW CSV → RAW CSV,2025-11-15 14:01:31.802172,2025-11-15 14:01:31.802172,data source,data target/raw,74,74,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:01:34.518996,2025-11-15 14:01:34.532498,data target/raw/dummy_realisasi_bus.csv,data target/stage/realisasi_bus.csv,515,515,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:01:34.532498,2025-11-15 14:01:34.536160,data target/raw/dummy_routes.csv,data target/stage/routes.csv,21,21,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:01:34.536160,2025-11-15 14:01:34.536160,data target/raw/dummy_shelter_corridor.csv,data target/stage/shelter_corridor.csv,74,74,SUCCESS,
insert_to_transaksi_bus(),STAGE → POSTGRES,2025-11-15 14:01:34.572883,2025-11-15 14:01:34.573920,,,0,0,FAILED,"(psycopg2.errors.SyntaxError) syntax error at or near ""(""
LINE 1: CALL insert_to_transaksi_bus()()
                                      ^

[SQL: CALL insert_to_transaksi_bus()()]
(Background on this error at: https://sqlalche.me/e/20/f405)"
insert_to_transaksi_bus(),STAGE → POSTGRES,2025-11-15 14:01:34.536160,2025-11-15 14:01:34.573920,stage csv,postgres.stage,,,SUCCESS,
insert_to_transaksi_halte(),STAGE → POSTGRES,2025-11-15 14:01:34.606793,2025-11-15 14:01:34.606793,,,0,0,FAILED,"(psycopg2.errors.SyntaxError) syntax error at or near ""(""
LINE 1: CALL insert_to_transaksi_halte()()
                                        ^

[SQL: CALL insert_to_transaksi_halte()()]
(Background on this error at: https://sqlalche.me/e/20/f405)"
insert_to_transaksi_halte(),STAGE → POSTGRES,2025-11-15 14:01:34.574922,2025-11-15 14:01:34.606793,stage csv,postgres.stage,,,SUCCESS,
realisasi_bus,target_merge,2025-11-15 14:01:34.618756,2025-11-15 14:01:34.634621,data target/raw/dummy_realisasi_bus.csv,data target/target/realisasi_bus.csv,515,515,SUCCESS,
routes,target_merge,2025-11-15 14:01:34.635626,2025-11-15 14:01:34.638414,data target/raw/dummy_routes.csv,data target/target/routes.csv,21,21,SUCCESS,
shelter_corridor,target_merge,2025-11-15 14:01:34.640606,2025-11-15 14:01:34.643714,data target/raw/dummy_shelter_corridor.csv,data target/target/shelter_corridor.csv,74,74,SUCCESS,
merge_transaksi_bus(),target_csv_to_postgres,2025-11-15 14:01:34.672409,2025-11-15 14:01:34.674230,,,0,0,FAILED,"(psycopg2.errors.SyntaxError) syntax error at or near ""(""
LINE 1: CALL merge_transaksi_bus()()
                                  ^

[SQL: CALL merge_transaksi_bus()()]
(Background on this error at: https://sqlalche.me/e/20/f405)"
merge_transaksi_halte(),target_csv_to_postgres,2025-11-15 14:01:34.674684,2025-11-15 14:01:34.675383,,,0,0,FAILED,"(psycopg2.errors.SyntaxError) syntax error at or near ""(""
LINE 1: CALL merge_transaksi_halte()()
                                    ^

[SQL: CALL merge_transaksi_halte()()]
(Background on this error at: https://sqlalche.me/e/20/f405)"
target_csv_to_postgres,target→postgres,2025-11-15 14:01:34.644577,2025-11-15 14:01:34.675383,procedures,postgres.target,,,SUCCESS,
