file_name,product_name,discount_price,original_price,rating,quantity,category
products_page_2.html,Moell Shower Kit Body wash 185gr & Shampoo 18gr - NON SLS /PARABEN,Rp125.000,Rp250.000,5.0,30+ terjual,Shampoo
products_page_2.html,Moell Shower Kit - Hair Lotion 100ml & Body Wash 185ml & Shampoo 185ml - Perawatan Mandi Bayi & Anak dengan Calendula Oil- Tanpa SLS & Alkohol,Rp185.000,Rp370.000,4.9,100+ terjual,Shampoo
products_page_2.html,Moell Nourish Kit Body Lotion 185ml & Hair Lotion 100ml & Face Cream 40ml - Perawatan Anak & Bayi,Rp195.000,Rp390.000,4.9,100+ terjual,Body Lotion
products_page_2.html,Moell Bundling Calming Rub Cream 50gr & Body Lotion 185gr - Skincare Baby - Natural Organic,Rp130.000,Rp260.000,5.0,60+ terjual,Body Lotion
products_page_2.html,"Moell Soothing and Calming Rub Cream 50gr -Dengan Red Ginger Meredakan Kembung, Kolik Bayi baru Lahir - Meningkatkan Kualitas Tidur Anak - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi - Skincare Anak",Rp65.000,Rp130.000,4.9,100+ terjual,Calming Rub Cream
products_page_2.html,Moell Calming Rub Cream 50 gr - Skincare Baby - Natural Organic,Rp65.000,Rp130.000,5.0,750+ terjual,Calming Rub Cream
products_page_2.html,Moell Special Bundling Moist Skin Everytime 185gr & Bubbles Everywhere Shampoo 185gr / Natural Organic / SLS free / BPOM,Rp130.000,Rp260.000,4.8,80+ terjual,Shampoo
products_page_2.html,Moell Special Bundling Nourish Hair Everyday 100ml + Bubbles Everywhere Shampoo 185gr + Bye Tummywind Essential Oil 8ml / Natural Organic / Alkohol Free / BPOM,Rp250.000,Rp500.000,5.0,19 terjual,Shampoo
products_page_2.html,Moell Bundles Body Wash 185gr & Shampoo 185gr & Hair Lotion 100gr & Body Lotion 185gr - 2in1 Baby Bath Sabun & Sampo Bayi Anak Kulit Kering & Sensitif - Tanpa SLS/Paraben & Alkohol - Skincare Anak dengan Microbiome Teknologi Diformulasikan Oleh Dokter,Rp250.000,Rp500.000,4.9,3rb+ terjual,Shampoo
products_page_2.html,Moell Special Bundling Triple Perfect Hair Lotion 100ml + Body Wash 185gr + Shampoo 185gr / SLS Free / Alcohol Free / Natural Organic,Rp200.000,Rp400.000,5.0,100+ terjual,Shampoo
products_page_2.html,Moell Special Bundling Hair Lotion & Face Cream Baby - Skincare Baby - Natural Organic,Rp200.000,Rp400.000,5.0,100+ terjual,Face Cream
