file_name,product_name,reviewer,review_date,rating,variant,review
reviews_page_2.html,"Moell Hair & Skin deals Bundling Body Lotion 185gr & Hair Lotion 100gr - Perawatan Badan & Rambut Bayi Anak Formulasi Dokter - Hair Lotion dengan Panax Ginseng, Candlenut Oil, Biotin - Skincare Bayi - Skincare Anak",B***g,2025-11-01,5,[DAPAT BODY WASH] BODY LOTION + HAIR LOTION,"Kemasan: Aman
Kualitas pengerjaan: Bagus
Warna: Sesuai"
reviews_page_2.html,"Moell Barrier Protection deals Body Lotion 185gr & Face Cream 40gr - Body Lotion Kulit Sensitif & Kering - Face Cream With Plant Based Probiotics, Organic Avocado Oil - Skincare Untuk Wajah & Badan Bayi dan Anak Formulasi Dokter",G***l,2025-11-01,5,FACE CREAM & BODY LOTION DAPAT BODY WASH,Produk bagus harga murah meriah
reviews_page_2.html,Moell Face Cream 40gr Bayi - Pelembap Wajah Anak Melindungi dan Memperkuat Skin Barrier Kulit Si Kecil - Aman untuk Kulit Sensitif dan Newborn - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi,M***b,2025-11-01,5,FACE CREAM 40gr SAJA,Pengiriman'y cepat dan selalu menjadi langganan
reviews_page_2.html,Moell Bundling Skin Protection Body Lotion 185gr & Physical Sunscreen 30gr & Face Cream 40gr - Physical Sunscreen SPF 50(+) PA(++++) - Face Cream Plant Based Probiotics - Dengan Microbiome Teknologi Formulasi Dokter - Skincare Bayi - Skincare Anak,U***g,2025-11-01,5,[DAPAT BODY WASH + POUCH] BL + SS + FC,Mantul pokonya
reviews_page_2.html,Moell Physical Sunscreen 30gr SPF 50+ PA++++ - Broad Spectrum UVA-UVB - Perlindungan Maksimal Kulit Anak - Skincare Dengan Microbiome Teknologi Formulasi Dokter - Skincare Bayi & Skincare Anak,S***v,2025-11-01,5,SUNSCREEN SAJA,"Anak saya cocok banget wajahnya cerahan😍😍😍
Kemasan: Rapi bangettt"
reviews_page_2.html,Moell Face Protection deals! Physical Sunscreen 30gr & Face Cream 40gr -Physical Sunscreen With SPF 50(+) PA(++++) -Face Cream With Plant Based Probiotics Organic Avocado Oil 10x Hyaluronic Acid - Perawatan Wajah Bayi & Anak Formulasi Dokter,N***q,2025-11-01,5,PROMO FACE CREAM + SUNSCREEN,Bgus slalu puas sama 100k dpt 3 item sunscrren facecream dan handbody
reviews_page_2.html,"Moell Hair Care Combo - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Formulasi Dokter - Panax Ginseng,Kemiri, Biotin - Skincare Bayi - Perawatan Rambut Bayi dan Anak",I***q,2025-11-01,5,SHAMPOO + HAIR LOTION SAJA,Baru pertama pake moell semoga di rambut anakku cocok
reviews_page_2.html,Moell Bundling Hair Lotion 100gr & Shampoo Reffil 500gr & Body Wash 185gr - Melindungi dan Memperkuat Skin Barrier - Lembut di Kulit - Skincare Anak Microbiome - Skincare Bayi,H***o,2025-11-01,5,FREE SHOWER CAP & SISIR OFFICIAL,Baguss sesuai ekspektasi
reviews_page_2.html,[EXCLUSIVE CREATOR] BUY 4 GET 7 Shampoo 185ml & Hair Lotion 100ml & Sunscreen 30ml & Face Cream 40ml FREE Body Wash 185ml & 1pcs Essential Oil & Pouch,R***t,2025-11-01,5,[FREE BODYWASH + KEYCHAIN + EO] BL + SS + HL + SH,"Cepat pengirimannya ,bgusss udah mau ke 2 kali pake ini😍😍"
reviews_page_3.html,Moell Body Lotion Bayi 185gr - Melembapkan Kulit Badan Anak - Perawatan Kulit Kering dan Sensitif - Pelembap Bayi Anak Daily Use - Sensitif Kering Ruam - Skincare Bayi Formulasi Dokter dengan Microbiome Teknologi - Skincare Anak,E***k,2025-11-01,4,BODY LOTION 185gr,Kemasan: Kemasan rapih
reviews_page_3.html,"Moell Hair Lotion Anak 100gr - Rambut Tumbuh Dalam 7 Hari - Panax Ginseng, Kemiri, Biotin - Menutrisi Kulit Kepala Rambut Anak - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi - Skincare Anak",K***c,2025-11-01,5,HAIR LOTION SAJA,Pesen yg 2 kali emng bgus sih buat numbuhin rambut anak
reviews_page_3.html,Moell Face Protection deals Physical Sunscreen 30gr & Face Cream 40gr -Physical Sunscreen With SPF 50(+) PA(++++) -Face Cream With Plant Based Probiotics Organic Avocado Oil 10x Hyaluronic Acid - Perawatan Wajah Bayi & Anak Formulasi Dokter,O***d,2025-11-01,5,FACE CREAM + SUNSCREEN SAJA,Bagus
reviews_page_3.html,Moell Gentle Care deals! Hair Lotion 100gr & Body Wash 185gr & Shampoo 185gr & Body Lotion 185gr - 2in1 Baby Bath Sabun & Sampo Bayi Anak Kulit Kering & Sensitif - Skincare Anak dengan Microbiome Teknologi Diformulasikan Oleh Dokter,X***k,2025-11-01,5,[TERMURAH] BW + BL + SH + HL,Kemasan: Bagus
reviews_page_3.html,"Moell Hair Care Combo - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Formulasi Dokter - Panax Ginseng,Kemiri, Biotin - Skincare Bayi - Perawatan Rambut Bayi dan Anak",F***c,2025-11-01,5,SHAMPOO + HAIR LOTION SAJA,Barangnya sudh sampai. Cocok di anakku
reviews_page_3.html,Moell Physical Sunscreen 30gr SPF 50+ PA++++ - Broad Spectrum UVA-UVB - Perlindungan Maksimal Kulit Anak - Skincare Microbiome Teknologi Formulasi Dokter - Skincare Bayi - Skincare Anak,G***n,2025-11-01,5,2 PCS SUNSCREEN 30gr,Bagus
reviews_page_3.html,Moell Body Lotion Bayi 185gr - Body Lotion Untuk Kulit Normal Sensitif - Pelembap Bayi Anak Daily Use - Sensitif Kering Ruam (Eksim) - Skincare Bayi - Kulit Cerah Glowing Ternutrisi,T***i,2025-11-01,5,BODY LOTION 185gr,"Bagus lembut dan wangi
Sering sering promo besar besaran"
reviews_page_3.html,Moell Physical Sunscreen 30gr SPF 50+ PA++++ - Broad Spectrum UVA-UVB - Perlindungan Maksimal Kulit Anak - Skincare Microbiome Teknologi Formulasi Dokter - Skincare Bayi - Skincare Anak,F***w,2025-11-01,5,SUNSCREEN 30gr SAJA,Packaging: Good
reviews_page_3.html,Moell Body Lotion Bayi 185gr - Melembapkan Kulit Badan Anak - Perawatan Kulit Kering dan Sensitif - Pelembap Bayi Anak Daily Use - Sensitif Kering Ruam - Skincare Bayi Formulasi Dokter dengan Microbiome Teknologi - Skincare Anak,X***u,2025-11-01,5,BODY LOTION TRAVEL SIZE 80gr,"Kemasan: Ok
Kualitas pengerjaan: Ok
Warna: Ok
Semoga cocok di anakku 5 BLN dan 6 thn"
reviews_page_3.html,"Moell Hair Care deals - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Panax Ginseng,Kemiri, Biotin - Skincare Bayi Formulasi Dokter- Perawatan Rambut Bayi dan Anak",W***l,2025-11-01,5,SHAMPOO + HAIR LOTION DAPAT BODY WASH,"asli ini murah pake bangetsss, 100rb dapat 3 item loh. emang moell ga kaleng2 kalo ngasih promoan mah. ga sia2 nunggu promoan kek begini nongol kan. thankyou moell. mana..."
reviews_page_4.html,Moell Protection Combo - Physical Sunscreen 30gr & Body Lotion 185gr - Perlindungan Maksimal UVA-UVB SPF 50+ PA++++ Broad Spectrum - Perkuat Skin Barrier - Skincare Anak Formulasi Dokter Dengan Microbiome Teknologi - Skincare Bayi & Anak,T***p,2025-11-01,4,BODY LOTION & SUNSCREEN SAJA,Mantap
